ad;year;month;atfm_arrivals;total_delay;atc_delay;atc_other_delay;weather_delay;other_delay;last_entry;last_update
EFHK;2008;4;8222;292;167;0;125;0;4-26-2008;9-5-12 19:26
EGBB;2008;4;4407;0;0;0;0;0;;
EGCC;2008;4;8317;1400;0;0;1400;0;4-4-2008;9-5-12 19:16
EGGD;2008;4;2752;321;0;0;321;0;4-2-2008;9-5-12 19:15
EGGW;2008;4;5028;679;630;0;49;0;4-29-2008;9-5-12 19:28
EGKK;2008;4;10698;13606;251;0;13355;0;4-30-2008;9-5-12 19:28
EGLC;2008;4;4249;39625;18907;3267;2410;15041;4-30-2008;9-5-12 19:28
EGLL;2008;4;19893;121116;26370;0;82946;11800;4-30-2008;9-5-12 19:28
EGNT;2008;4;2321;0;0;0;0;0;;
EGPD;2008;4;2968;0;0;0;0;0;;
EGPF;2008;4;4036;0;0;0;0;0;;
EGPH;2008;4;5255;1993;0;0;0;1993;4-23-2008;9-5-12 19:25
EGSS;2008;4;8360;1414;1243;0;171;0;4-29-2008;9-5-12 19:28
EHAM;2008;4;18658;31523;2938;26979;1606;0;4-30-2008;9-5-12 19:28
EIDW;2008;4;8537;7167;6868;0;0;299;4-30-2008;9-5-12 19:28
EKCH;2008;4;11682;26322;9227;0;8571;8524;4-30-2008;9-5-12 19:28
ELLX;2008;4;2619;0;0;0;0;0;;
ENBR;2008;4;4195;331;331;0;0;0;4-15-2008;9-5-12 19:21
ENGM;2008;4;10671;27;0;27;0;0;4-10-2008;9-5-12 19:19
ENVA;2008;4;2319;0;0;0;0;0;;
ENZV;2008;4;3088;26;26;0;0;0;4-20-2008;9-5-12 19:23
EPWA;2008;4;6173;2692;1048;0;883;761;4-29-2008;9-5-12 19:28
ESGG;2008;4;2992;33;0;0;33;0;4-10-2008;9-5-12 19:19
ESSA;2008;4;10231;2027;1363;0;664;0;4-28-2008;9-5-12 19:27
EVRA;2008;4;1980;0;0;0;0;0;;
EYVI;2008;4;1658;0;0;0;0;0;;
GCLP;2008;4;4819;2686;2041;36;0;609;4-30-2008;9-5-12 19:28
GCTS;2008;4;2718;0;0;0;0;0;;
GCXO;2008;4;2608;0;0;0;0;0;;
LBSF;2008;4;1985;0;0;0;0;0;;
LCLK;2008;4;1908;749;749;0;0;0;4-28-2008;9-5-12 19:27
LDZA;2008;4;1628;506;0;0;0;506;39543;41157.80326
LEAL;2008;4;3412;995;995;0;0;0;4-27-2008;9-5-12 19:27
LEBB;2008;4;2376;0;0;0;0;0;;
LEBL;2008;4;14097;5767;1208;1782;1777;1000;4-30-2008;9-5-12 19:28
LEIB;2008;4;1471;427;427;0;0;0;4-20-2008;9-5-12 19:23
LEMD;2008;4;20419;55274;24235;3596;17529;9914;4-30-2008;9-5-12 19:28
LEMG;2008;4;5048;0;0;0;0;0;;
LEPA;2008;4;7312;4622;4622;0;0;0;4-30-2008;9-5-12 19:28
LEVC;2008;4;3646;0;0;0;0;0;;
LEZL;2008;4;2421;0;0;0;0;0;;
LFLL;2008;4;5578;3178;2099;0;1079;0;4-29-2008;9-5-12 19:28
LFMN;2008;4;5762;166;166;0;0;0;4-11-2008;9-5-12 19:19
LFPG;2008;4;23807;17703;14575;23;3105;0;4-30-2008;9-5-12 19:28
LFPO;2008;4;10187;2526;94;114;2318;0;4-30-2008;9-5-12 19:28
LFSB;2008;4;2971;0;0;0;0;0;;
LGAV;2008;4;7973;0;0;0;0;0;;
LHBP;2008;4;4839;101;101;0;0;0;4-6-2008;9-5-12 19:17
LICC;2008;4;2503;18;0;18;0;0;4-18-2008;9-5-12 19:23
LIMC;2008;4;8284;604;0;0;604;0;4-15-2008;9-5-12 19:21
LIME;2008;4;2725;522;290;0;232;0;4-29-2008;9-5-12 19:28
LIML;2008;4;5552;11740;0;0;11740;0;4-23-2008;9-5-12 19:25
LIPE;2008;4;2583;280;0;0;280;0;4-11-2008;9-5-12 19:19
LIPZ;2008;4;3388;1194;0;0;1194;0;4-29-2008;9-5-12 19:28
LIRF;2008;4;15128;18724;13616;0;5108;0;4-30-2008;9-5-12 19:28
LIRN;2008;4;2903;0;0;0;0;0;;
LJLJ;2008;4;1795;0;0;0;0;0;;
LKPR;2008;4;7144;2863;915;0;1948;0;4-27-2008;9-5-12 19:27
LMML;2008;4;1236;0;0;0;0;0;;
LOWW;2008;4;12325;33020;26239;297;6484;0;4-30-2008;9-5-12 19:28
LPPR;2008;4;2341;2028;32;0;1996;0;4-24-2008;9-5-12 19:25
LPPT;2008;4;5807;2827;595;0;2232;0;4-26-2008;9-5-12 19:26
LROP;2008;4;2961;988;0;0;0;988;4-4-2008;9-5-12 19:16
LSGG;2008;4;7351;8005;7033;112;860;0;4-30-2008;9-5-12 19:28
LSZH;2008;4;10878;22751;11979;1348;9424;0;4-30-2008;9-5-12 19:28
LZIB;2008;4;1168;0;0;0;0;0;;
EBBR;2008;5;11162;28116;11887;0;15816;413;5-27-2008;9-5-12 19:43
